activity,county,date,score,state
campground,Harris,2020-06-03 00:00:00,0.10167777777777776,Texas
campground,San Diego,2020-05-27 00:00:00,-0.28922307692307697,California
campground,San Bernardino,2020-05-27 00:00:00,-0.28922307692307697,California
campground,New York,2020-06-03 00:00:00,-0.14230731707317076,New York
campground,New York,2020-05-27 00:00:00,0.16986575342465754,New York
campground,New York,2020-05-20 00:00:00,-0.2194025641025641,New York
campground,Palm Beach,2020-06-03 00:00:00,0.06588444444444441,Florida
campground,Palm Beach,2020-05-27 00:00:00,-0.07153999999999995,Florida
campground,Salt Lake,2020-06-03 00:00:00,-0.09390588235294116,Utah
campground,Salt Lake,2020-05-27 00:00:00,-0.06360625000000003,Utah
campground,Salt Lake,2020-05-20 00:00:00,-0.10305595238095239,Utah
campground,St. Louis,2020-06-03 00:00:00,0.2881000000000001,Missouri
campground,St. Louis,2020-05-27 00:00:00,-0.3681021739130434,Missouri
campground,St. Louis,2020-05-20 00:00:00,-0.19387045454545457,Missouri
campground,Marion,2020-05-27 00:00:00,-0.7667272727272728,Indiana
campground,Prince George's,2020-06-03 00:00:00,0.19270000000000004,Maryland
campground,Prince George's,2020-05-27 00:00:00,-0.26468205128205124,Maryland
campground,San Francisco,2020-05-27 00:00:00,-0.28922307692307697,California
car rental,Miami-Dade,2020-05-27 00:00:00,0.15159999999999998,Florida
car rental,Honolulu,2020-05-27 00:00:00,0.14809999999999995,Hawaii
car wash,Los Angeles,2020-05-27 00:00:00,-0.351186956521739,California
car wash,Queens,2020-05-20 00:00:00,-0.9865,New York
car wash,New York,2020-05-20 00:00:00,-0.5887454545454545,New York
car wash,Prince George's,2020-05-20 00:00:00,-0.5887454545454545,Maryland
casino,Los Angeles,2020-06-03 00:00:00,-0.46759999999999985,California
casino,Los Angeles,2020-05-27 00:00:00,-0.2909951219512196,California
casino,Cook,2020-05-27 00:00:00,-0.9319,Illinois
casino,Harris,2020-06-03 00:00:00,-0.8392160000000003,Texas
casino,Maricopa,2020-06-03 00:00:00,-0.7084342857142858,Arizona
casino,Maricopa,2020-05-27 00:00:00,-0.5414357142857146,Arizona
casino,Maricopa,2020-05-20 00:00:00,-0.7740795454545456,Arizona
casino,San Diego,2020-06-03 00:00:00,-0.4619925619834711,California
casino,San Diego,2020-05-27 00:00:00,-0.3306989795918367,California
casino,San Diego,2020-05-20 00:00:00,-0.6503954545454544,California
casino,Orange,2020-05-27 00:00:00,-0.6681148148148148,Florida
casino,Miami-Dade,2020-06-03 00:00:00,-0.1905912280701755,Florida
casino,Dallas,2020-06-03 00:00:00,-0.17970408163265306,Texas
casino,Dallas,2020-05-27 00:00:00,-0.50139,Texas
casino,Riverside,2020-06-03 00:00:00,-0.3518576923076923,California
casino,Riverside,2020-05-27 00:00:00,-0.3027018867924527,California
casino,Riverside,2020-05-20 00:00:00,-0.7269681818181818,California
casino,Queens,2020-05-27 00:00:00,-0.36882903225806474,New York
casino,Queens,2020-05-20 00:00:00,-0.5188375,New York
casino,King,2020-06-03 00:00:00,-0.5106777777777779,Washington
casino,King,2020-05-27 00:00:00,-0.375187037037037,Washington
casino,Clark,2020-06-03 00:00:00,-0.16834482758620695,Nevada
casino,Clark,2020-05-27 00:00:00,-0.4952083333333334,Nevada
casino,San Bernardino,2020-06-03 00:00:00,-0.4619925619834711,California
casino,San Bernardino,2020-05-27 00:00:00,-0.3306989795918367,California
casino,San Bernardino,2020-05-20 00:00:00,-0.6503954545454544,California
casino,Santa Clara,2020-05-27 00:00:00,-0.3381979591836735,California
casino,Wayne,2020-06-03 00:00:00,-0.21913478260869568,Michigan
